from_airport_iata,to_airport_iata,days_of_week,departure_time,arrival_time,flight_duration,flight,airline_iata,aircraft_iata
ADL,MEL,7,6:45,8:30,1:15,QF672,QF,734
ADL,MEL,1234567,12:15,14:05,1:20,CX105,CX,333
ADL,MEL,1234567,13:40,15:25,1:15,QF686,QF,734
ADL,MEL,1234567,15:40,17:25,1:15,QF690,QF,73H
ADL,MEL,1234567,17:25,19:10,1:15,QF692,QF,73H
ADL,MEL,123456,6:05,7:50,1:15,QF670,QF,73H
ADL,MEL,123456,7:45,9:30,1:15,QF674,QF,73H
ADL,OLP,1345,6:30,8:00,1:30,QF2604,QF,F50
ADL,OLP,457,16:00,17:30,1:30,QF2616,QF,F50
ADL,OLP,3,15:30,17:00,1:30,QF2618,QF,F50
ADL,OLP,1246,7:00,8:30,1:30,QF2606,QF,F50
ADL,OLP,5,12:00,13:30,1:30,QF2612,QF,F50
ADL,OLP,7,15:30,17:00,1:30,QF2654,QF,F50
ADL,OLP,126,7:00,8:30,1:30,QF2606,QF,F50
ADL,OLP,12345,15:00,16:30,1:30,QF2614,QF,F50
ADL,OLP,1,10:30,12:00,1:30,QF2608,QF,F50
ADL,OLP,23,5:50,7:20,1:30,QF2600,QF,F50
ADL,OLP,23,10:00,11:30,1:30,QF2608,QF,F50
ADL,OLP,4,10:45,12:15,1:30,QF2610,QF,F50
ADL,PER,123457,19:55,21:50,3:25,QF599,QF,73H
ADL,PER,123,7:05,9:00,3:25,QF593,QF,73H
ADL,PER,123457,19:55,21:50,3:25,QF599,QF,73H
ADL,PER,1234567,7:05,9:00,3:25,QF593,QF,73H
ADL,PER,1234567,11:20,13:15,3:25,QF587,QF,73H
ADL,PER,1234567,16:45,18:40,3:25,QF595,QF,73H
ADL,PER,123457,14:45,16:40,3:25,QF585,QF,73H
ADL,SIN,246,14:00,18:30,7:00,QF81,QF,333
ADL,SYD,357,8:50,11:25,2:05,QF82,QF,333
ADL,SYD,34567,17:40,20:05,1:55,QF766,QF,73H
ADL,SYD,1234567,13:30,15:55,1:55,QF752,QF,73H
ADL,SYD,1234567,14:55,17:20,1:55,QF756,QF,73H
ADL,SYD,1257,12:15,14:40,1:55,QF736,QF,73H
ADL,SYD,123456,17:40,20:05,1:55,QF766,QF,73H
ADL,SYD,1257,12:15,14:40,1:55,QF736,QF,73H
ADL,SYD,12345,7:00,9:25,1:55,QF732,QF,73H
ADL,SYD,23,9:30,11:55,1:55,QF738,QF,73H
ADL,SYD,345,12:15,14:40,1:55,QF736,QF,73H
ADL,SYD,45,17:40,20:05,1:55,QF766,QF,73H
ADL,SYD,4,11:05,13:30,1:55,QF750,QF,73H
ADL,SYD,5,10:50,13:15,1:55,QF750,QF,73H
ADL,SYD,5,13:30,15:55,1:55,QF752,QF,73H
ADL,SYD,6,13:45,16:10,1:55,QF752,QF,73H
ADL,SYD,567,17:40,20:05,1:55,QF766,QF,73H
ADL,SYD,1234567,14:55,17:20,1:55,QF756,QF,73H
ADL,SYD,123457,13:30,15:55,1:55,QF752,QF,73H
ADL,SYD,3457,12:15,14:40,1:55,QF736,QF,73H
ADL,SYD,1234567,9:30,11:55,1:55,QF738,QF,73H
ADL,SYD,7,7:00,9:25,1:55,QF732,QF,73H
ADL,SYD,1234567,10:50,13:15,1:55,QF750,QF,73H
ADL,SYD,123456,6:00,8:25,1:55,QF730,QF,73H
ADL,SYD,123456,8:05,10:30,1:55,QF740,QF,73H
ADL,SYD,123457,16:50,19:15,1:55,QF764,QF,73H
ADL,SYD,123457,18:50,21:15,1:55,QF774,QF,73H
ADL,SYD,5,20:00,22:25,1:55,QF778,QF,73H
AEP,BRC,147,15:30,16:50,2:20,LA4350,LA,320
AEP,BRC,12345,7:40,9:00,2:20,LA4342,LA,320
AEP,BRC,7,15:30,16:50,2:20,LA4350,LA,320
AEP,BRC,12345,7:40,9:00,2:20,LA4342,LA,320
AEP,BRC,6,15:00,16:20,2:20,LA4352,LA,320
AEP,BRC,7,16:10,17:30,2:20,LA4352,LA,320
AEP,BRC,1257,15:30,16:50,2:20,LA4350,LA,320
AEP,BRC,1245,7:40,9:00,2:20,LA4342,LA,320
AEP,BRC,12345,11:55,13:15,2:20,LA4344,LA,320
AEP,BRC,12345,17:35,18:55,2:20,LA4354,LA,320
AEP,BRC,247,22:00,23:20,2:20,LA4356,LA,320
AEP,BRC,5,22:30,23:50,2:20,LA4356,LA,320
AEP,BRC,6,6:20,7:40,2:20,LA4342,LA,320
AEP,BRC,6,12:00,13:20,2:20,LA4348,LA,320
AEP,BRC,6,16:00,17:20,2:20,LA4350,LA,320
AEP,BRC,7,12:00,13:20,2:20,LA4346,LA,320
AEP,BRC,7,17:00,18:20,2:20,LA4354,LA,320
AEP,COR,1345,19:55,21:15,1:20,LA4220,LA,320
AEP,COR,2345,15:15,16:35,1:20,LA4212,LA,320
AEP,COR,1245,7:10,8:30,1:20,LA4202,LA,320
AEP,COR,67,6:40,8:00,1:20,LA4200,LA,320
AEP,COR,1,14:00,15:20,1:20,LA4212,LA,320
AEP,COR,1245,19:55,21:15,1:20,LA4220,LA,320
AEP,COR,3,8:00,9:20,1:20,LA4202,LA,320
AEP,COR,3,20:10,21:30,1:20,LA4222,LA,320
AEP,COR,12345,15:15,16:35,1:20,LA4212,LA,320
AEP,COR,123,7:10,8:30,1:20,LA4202,LA,320
AEP,COR,1235,19:55,21:15,1:20,LA4220,LA,320
AEP,COR,4,20:10,21:30,1:20,LA4222,LA,320
AEP,COR,45,7:40,9:00,1:20,LA4202,LA,320
AEP,COR,3,8:00,9:20,1:20,LA4202,LA,320
AEP,COR,45,7:10,8:30,1:20,LA4202,LA,320
AEP,COR,45,19:55,21:15,1:20,LA4220,LA,320
AEP,COR,5,8:30,9:50,1:20,LA4202,LA,320
AEP,COR,5,21:10,22:30,1:20,LA4220,LA,320
AEP,COR,7,6:20,7:40,1:20,LA4200,LA,320
AEP,COR,15,14:00,15:20,1:20,LA4212,LA,320
AEP,COR,2,21:10,22:30,1:20,LA4222,LA,320
AEP,COR,3,7:40,9:00,1:20,LA4202,LA,320
AEP,COR,6,6:40,8:00,1:20,LA4200,LA,320
AEP,COR,12345,18:40,20:00,1:20,LA4216,LA,320
AEP,COR,6,19:00,20:20,1:20,LA4222,LA,320
AEP,COR,7,19:00,20:20,1:20,LA4218,LA,320
AEP,CRD,3,6:40,8:07,2:27,LA4426,LA,320
AEP,CRD,12345,5:40,7:07,2:27,LA4426,LA,320
AEP,CRD,4,6:40,8:07,2:27,LA4426,LA,320
AEP,CRD,12345,5:40,7:07,2:27,LA4426,LA,320
AEP,CRD,12345,5:40,7:07,2:27,LA4426,LA,320
AEP,FTE,2345,14:00,16:11,3:11,LA4430,LA,320
AEP,FTE,7,5:50,10:35,5:45,LA4438,LA,320
AEP,FTE,12345,14:00,16:11,3:11,LA4430,LA,320
AEP,FTE,13,6:50,9:01,3:11,LA4440,LA,320
AEP,FTE,25,6:40,11:25,5:45,LA4438,LA,320
AEP,FTE,14,6:50,9:01,3:11,LA4440,LA,320
AEP,FTE,25,6:40,11:25,5:45,LA4438,LA,320
AEP,FTE,6,5:50,8:01,3:11,LA4440,LA,320
AEP,IGR,12345,8:30,10:14,1:44,LA4022,LA,320
AEP,IGR,4,11:30,13:14,1:44,LA4980,LA,320
AEP,IGR,12345,11:30,13:14,1:44,LA4024,LA,320
AEP,IGR,5,8:00,9:44,1:44,LA4022,LA,320
AEP,IGR,12345,11:30,13:14,1:44,LA4024,LA,320
AEP,IGR,123457,16:30,18:14,1:44,LA4032,LA,320
AEP,IGR,12345,13:30,15:14,1:44,LA4028,LA,320
AEP,IGR,67,7:10,8:54,1:44,LA4020,LA,320
AEP,IGR,67,8:10,9:54,1:44,LA4022,LA,320
AEP,IGR,67,12:30,14:14,1:44,LA4026,LA,320
AEP,IGR,6,17:00,18:44,1:44,LA4032,LA,320
AEP,MDZ,345,13:00,13:49,1:49,LA4244,LA,320
AEP,MDZ,12345,12:30,13:19,1:49,LA4244,LA,320
AEP,MDZ,12345,12:30,13:19,1:49,LA4244,LA,320
AEP,MDZ,12345,6:20,7:09,1:49,LA4240,LA,320
AEP,MDZ,12345,19:20,20:09,1:49,LA4248,LA,320
AEP,MDZ,67,7:40,8:29,1:49,LA4240,LA,320
AEP,MDZ,6,13:20,14:09,1:49,LA4244,LA,320
AEP,MDZ,6,18:30,19:19,1:49,LA4250,LA,320
AEP,MDZ,7,18:00,18:49,1:49,LA4244,LA,320
AEP,NQN,7,13:20,14:13,1:53,LA4272,LA,320
AEP,NQN,3,7:10,8:03,1:53,LA4270,LA,320
AEP,NQN,12345,8:00,8:53,1:53,LA4270,LA,320
AEP,NQN,5,6:40,7:33,1:53,LA4270,LA,320
AEP,NQN,7,13:50,14:43,1:53,LA4272,LA,320
AEP,NQN,12345,8:00,8:53,1:53,LA4270,LA,320
AEP,NQN,7,13:50,14:43,1:53,LA4272,LA,320
AEP,NQN,12345,8:00,8:53,1:53,LA4270,LA,320
AEP,NQN,12345,18:20,19:13,1:53,LA4276,LA,320
AEP,NQN,6,18:00,18:53,1:53,LA4276,LA,320
AEP,RGL,1247,22:55,1:06,3:11,LA4422,LA,320
AEP,SLA,6,14:00,15:14,2:14,LA4112,LA,320
AEP,SLA,7,10:30,11:44,2:14,LA4110,LA,320
AEP,SLA,7,16:00,17:14,2:14,LA4114,LA,320
AEP,SLA,12345,13:00,14:14,2:14,LA4114,LA,320
AEP,SLA,6,15:30,16:44,2:14,LA4112,LA,320
AEP,SLA,12345,13:00,14:14,2:14,LA4114,LA,320
AEP,SLA,7,10:20,11:34,2:14,LA4110,LA,320
AEP,SLA,1245,13:00,14:14,2:14,LA4114,LA,320
AEP,SLA,12345,9:15,10:29,2:14,LA4110,LA,320
AEP,SLA,12345,17:15,18:29,2:14,LA4116,LA,320
AEP,SLA,67,17:30,18:44,2:14,LA4116,LA,320
AEP,SLA,6,9:50,11:04,2:14,LA4110,LA,320
AEP,UAQ,135,22:00,22:53,1:53,LA4284,LA,320
AEP,USH,7,5:50,8:33,3:43,LA4438,LA,320
AEP,USH,13,6:50,11:07,5:17,LA4440,LA,320
AEP,USH,25,6:40,9:23,3:43,LA4438,LA,320
AEP,USH,14,6:50,11:07,5:17,LA4440,LA,320
AEP,USH,25,6:40,9:23,3:43,LA4438,LA,320
AEP,USH,6,5:50,10:07,5:17,LA4440,LA,320
AEX,DFW,1234567,7:10,8:25,1:15,AA3414,AA,ER4
AEX,DFW,1234567,14:50,16:00,1:10,AA3420,AA,ER4
AGJ,OKA,1234567,9:15,9:40,0:25,NU722,NU,BNT
AGJ,OKA,1234567,10:45,11:10,0:25,NU724,NU,BNT
AGJ,OKA,1234567,16:15,16:40,0:25,NU738,NU,BNT
AGP,ACE,7,10:35,11:40,2:05,IB8088,IB,CR9
AGP,ACE,1256,13:05,14:10,2:05,IB8088,IB,CR9
AGP,CMN,24,19:40,20:05,1:25,IB8140,IB,DH3
AGP,CMN,6,8:30,8:40,1:10,IB8140,IB,CR2
AGP,CMN,7,19:25,19:50,1:25,IB8140,IB,AT7
AGP,CPH,1234567,9:30,15:05,5:35,IB3304,IB,320
AGP,IBZ,6,11:10,12:25,1:15,IB8800,IB,CR2
AGP,IBZ,2,13:00,14:15,1:15,IB8800,IB,CR2
AGP,IBZ,2,18:20,19:35,1:15,IB8032,IB,CR2
AGP,LGW,1234567,16:50,18:35,2:45,BA2715,BA,734
AGP,LGW,1234567,6:45,8:30,2:45,BA2711,BA,734
AGP,LGW,1234567,15:00,16:45,2:45,BA2713,BA,734
AGP,LHR,1234567,16:15,18:10,2:55,BA497,BA,321
AGP,LPA,7,7:00,8:25,2:25,IB8164,IB,CR9
AGP,LPA,7,15:55,17:20,2:25,IB8166,IB,CR9
AGP,LPA,15,17:15,18:40,2:25,IB8166,IB,CR2
AGP,LPA,12567,7:00,8:25,2:25,IB8164,IB,CR9
AGP,LPA,6,15:20,16:45,2:25,IB8166,IB,CR9
AGP,MAD,234567,19:50,20:55,1:05,IB231,IB,321
AGP,MAD,1256,6:30,7:35,1:05,IB213,IB,321
AGP,MAD,1234567,7:25,8:30,1:05,IB217,IB,320
AGP,MAD,1234567,19:50,20:55,1:05,IB231,IB,321
AGP,MAD,125,6:30,7:35,1:05,IB213,IB,321
AGP,MAD,123456,7:25,8:30,1:05,IB217,IB,320
AGP,MAD,1234567,9:30,10:35,1:05,IB3304,IB,320
AGP,MAD,1234567,13:40,14:45,1:05,IB221,IB,321
AGP,MAD,1234567,17:40,18:45,1:05,IB225,IB,320
AGP,MAD,1,11:30,12:35,1:05,IB211,IB,319
AGP,MAD,234567,11:20,12:25,1:05,IB211,IB,320
AGP,MLN,1234567,7:20,8:05,0:45,IB8260,IB,AT7
AGP,MLN,1234567,9:55,10:40,0:45,IB8262,IB,AT7
AGP,MLN,123456,9:00,9:45,0:45,IB8268,IB,DH3
AGP,MLN,123457,12:30,13:15,0:45,IB8266,IB,AT7
AGP,MLN,123457,16:50,17:35,0:45,IB8274,IB,DH3
AGP,MLN,12345,13:40,14:25,0:45,IB8264,IB,DH3
AGP,MLN,12345,15:20,16:05,0:45,IB8270,IB,AT7
AGP,MLN,67,13:30,14:15,0:45,IB8264,IB,AT7
AGP,MLN,6,16:05,16:50,0:45,IB8270,IB,AT7
AGP,MLN,7,15:05,15:50,0:45,IB8272,IB,AT7
AGP,MLN,7,15:40,16:25,0:45,IB8270,IB,DH3
AGP,OVD,24,13:30,15:05,1:35,IB8218,IB,CR2
AGP,OVD,6,16:30,18:05,1:35,IB8218,IB,CR2
AGP,OVD,15,13:00,14:35,1:35,IB8218,IB,CR2
AGP,SDR,24,12:20,13:50,1:30,IB8170,IB,CR2
AGP,TFN,156,18:25,19:55,2:30,IB8610,IB,CR9
AGP,TFN,125,7:00,8:30,2:30,IB8608,IB,CR2
AGP,TFN,2,17:15,18:45,2:30,IB8610,IB,CR2
AGP,TFN,6,9:15,10:45,2:30,IB8608,IB,CR9
AGP,TFN,7,17:05,18:35,2:30,IB8610,IB,CR2
AGP,TNG,5,19:40,19:20,0:40,IB8280,IB,DH3
AGP,TNG,7,11:10,10:50,0:40,IB8280,IB,DH3
AGP,VLC,12345,7:10,8:30,1:20,IB8455,IB,DH3
AGP,VLC,6,21:10,22:15,1:05,IB8459,IB,CR2
AGP,VLC,6,16:55,18:00,1:05,IB8459,IB,CR2
AGP,VLC,123457,18:50,20:10,1:20,IB8459,IB,AT7
AGP,VLC,12345,16:55,18:15,1:20,IB8457,IB,DH3
AGP,VLC,7,13:35,14:40,1:05,IB8457,IB,CR9
AGP,VLL,6,12:30,13:50,1:20,IB8686,IB,CR2
AGU,DFW,1234567,7:15,9:30,2:15,AA3594,AA,ER4
AKJ,HND,1234567,13:15,15:00,1:45,JL1104,JL,AB6
AKJ,HND,1567,13:05,14:50,1:45,JL1104,JL,AB6
AKJ,HND,1234567,9:55,11:40,1:45,JL1100,JL,AB6
AKJ,HND,1234567,17:00,18:45,1:45,JL1112,JL,AB6
AKJ,HND,1234567,20:15,22:00,1:45,JL1116,JL,AB6
AKJ,ITM,1567,15:45,17:55,2:10,JL2114,JL,M81
AKJ,KIX,1234567,14:25,16:50,2:25,JL2610,JL,M81
AKL,BNE,1234567,7:25,8:05,3:40,QF116,QF,734
AKL,BNE,1234567,14:30,15:10,3:40,QF126,QF,734
AKL,CHC,1234567,9:00,10:20,1:20,QF2759,QF,733
AKL,CHC,1234567,14:00,15:20,1:20,QF2763,QF,733
AKL,CHC,6,18:30,19:50,1:20,QF2771,QF,733
AKL,CHC,7,15:00,16:20,1:20,QF2769,QF,733
AKL,CHC,7,19:00,20:20,1:20,QF2771,QF,733
AKL,CHC,12345,15:30,16:50,1:20,QF2769,QF,733
AKL,CHC,12345,19:30,20:50,1:20,QF2771,QF,733
AKL,CHC,6,9:30,10:50,1:20,QF2759,QF,734
AKL,CHC,6,10:30,11:50,1:20,QF2761,QF,733
AKL,CHC,6,14:30,15:50,1:20,QF2763,QF,733
AKL,CHC,6,21:30,22:50,1:20,QF2765,QF,733
AKL,CHC,7,21:00,22:20,1:20,QF2765,QF,733
AKL,CHC,123457,9:00,10:20,1:20,QF2759,QF,733
AKL,CHC,123457,14:00,15:20,1:20,QF2763,QF,733
AKL,CHC,1234567,19:30,20:50,1:20,QF2771,QF,733
AKL,CHC,1234567,15:30,16:50,1:20,QF2769,QF,733
AKL,CHC,12345,7:30,8:50,1:20,QF2753,QF,734
AKL,HKG,234567,14:40,20:45,11:05,CX108,CX,744
AKL,HKG,1234567,8:55,15:20,11:25,CX118,CX,343
AKL,LAX,1234567,19:40,10:35,11:55,QF25,QF,744
AKL,LAX,247,19:30,10:50,12:20,QF25,QF,332
AKL,LAX,1356,19:40,10:35,11:55,QF25,QF,744
AKL,MEL,1234567,7:50,9:40,3:50,QF26,QF,744
AKL,MEL,246,7:45,9:40,3:55,QF26,QF,332
AKL,MEL,1357,7:50,9:40,3:50,QF26,QF,744
AKL,MEL,1234567,16:15,18:20,4:05,QF134,QF,734
AKL,SCL,123467,17:25,12:55,11:30,LA800,LA,343
AKL,SYD,1234567,6:30,7:55,3:25,QF50,QF,763
AKL,SYD,1234567,9:00,10:25,3:25,QF142,QF,763
AKL,SYD,1234567,13:50,15:10,3:20,QF114,QF,763
AKL,SYD,1234567,18:30,19:55,3:25,QF44,QF,763
AKL,SYD,123467,5:45,7:20,3:35,LA801,LA,343
AKL,WLG,12345,8:30,9:30,1:00,QF2707,QF,733
AKL,WLG,67,10:30,11:30,1:00,QF2711,QF,733
AKL,WLG,6,15:30,16:30,1:00,QF2721,QF,733
AKL,WLG,7,18:00,19:00,1:00,QF2721,QF,733
AKL,WLG,5,10:30,11:30,1:00,QF2707,QF,733
AKL,WLG,67,17:30,18:30,1:00,QF2721,QF,733
AKL,WLG,12345,7:00,8:00,1:00,QF2703,QF,733
AKL,WLG,12345,16:30,17:30,1:00,QF2719,QF,733
AKL,WLG,12345,18:00,19:00,1:00,QF2723,QF,733
AKL,WLG,12345,19:30,20:30,1:00,QF2727,QF,733
AKL,WLG,67,7:30,8:30,1:00,QF2705,QF,733
AKL,ZQN,5,10:30,13:15,2:45,QF2707,QF,733
AKL,ZQN,1234567,10:00,11:50,1:50,QF2791,QF,733
ALC,BIO,246,9:00,10:15,1:15,IB8386,IB,CR2
ALC,BIO,7,14:55,16:10,1:15,IB8388,IB,CR2
ALC,BIO,12345,21:50,23:05,1:15,IB8388,IB,CR2
ALC,BIO,123457,21:50,23:05,1:15,IB8388,IB,CR2
ALC,BIO,7,20:35,21:50,1:15,IB8384,IB,CR2
ALC,IBZ,6,8:00,8:40,0:40,IB8906,IB,CR2
ALC,IBZ,2,22:00,22:40,0:40,IB8030,IB,CR2
ALC,IBZ,7,12:45,13:30,0:45,IB8906,IB,DH3
ALC,LGW,12457,11:30,13:00,2:30,BA2723,BA,319
ALC,LGW,36,11:45,13:15,2:30,BA2723,BA,319
ALC,LPA,7,8:15,10:15,3:00,IB8804,IB,CR2
ALC,LPA,67,8:50,10:50,3:00,IB8804,IB,CR2
ALC,LPA,125,9:00,11:00,3:00,IB8804,IB,CR2
ALC,MAD,3456,7:15,8:15,1:00,IB365,IB,321
ALC,MAD,1234567,7:15,8:15,1:00,IB365,IB,321
ALC,MAD,23457,15:25,16:25,1:00,IB373,IB,320
ALC,MAD,12457,19:50,20:50,1:00,IB375,IB,320
ALC,MAD,134,6:35,7:35,1:00,IB367,IB,320
ALC,MAD,345,15:25,16:25,1:00,IB373,IB,320
ALC,MAD,1234,6:35,7:35,1:00,IB367,IB,320
ALC,MAD,1457,19:50,20:50,1:00,IB375,IB,320
ALC,MAD,1234567,9:45,10:45,1:00,IB359,IB,321
ALC,MAD,1234567,13:35,14:35,1:00,IB371,IB,320
ALC,MAD,1234567,17:40,18:40,1:00,IB353,IB,320
ALC,MAD,1234567,21:55,22:55,1:00,IB363,IB,320
ALC,MAD,1235,12:35,13:35,1:00,IB361,IB,321
ALC,OVD,24,16:45,18:15,1:30,IB8242,IB,CR2
ALC,OVD,2,13:30,15:00,1:30,IB8242,IB,CR2
ALC,OVD,7,12:00,13:30,1:30,IB8242,IB,CR2
ALC,SDR,24,16:15,17:35,1:20,IB8290,IB,CR2
