airline_iata,airline,callsign,country
RH,Republic Express Airlines,PUBLIC EXPRESS,Indonesia
C7,Rico Linhas Aéreas,RICO,Brazil
SL,Rio Sul Serviços Aéreos Regionais,RIO SUL,Brazil
R4,Rossiya,,Russia
GZ,Rotation International Air Services,ROTATION AIR,Ethiopia
RR,Royal Air Force,RAFAIR,United Kingdom
AT,Royal Air Maroc,ROYALAIR MAROC,Morocco
R0,Royal Airlines,ROYAL PAKISTAN,Pakistan
BI,Royal Brunei Airlines,BRUNEI,Brunei
RJ,Royal Jordanian,JORDANIAN,Jordan
RL,Royal Phnom Penh Airways,PHNOM-PENH AIR,Cambodia
WR,Royal Tongan Airlines,TONGA ROYAL,Tonga
P7,Russian Sky Airlines,RADUGA,Russia
WB,Rwandair Express,RWANDAIR,Rwanda
RD,Ryan International Airlines,RYAN INTERNATIONAL,United States
FR,Ryanair,RYANAIR,Ireland
YS,Régional,REGIONAL EUROPE,France
S7,S7 Airlines,SIBERIAN AIRLINES,Russia
SP,SATA Air Acores,SATA,Portugal
S4,SATA International,AIR AZORES,Portugal
XS,SITA,,Belgium
2C,SNCF,,France
1Z,Sabre Pacific,,Australia
1S,Sabre,,United States
FA,Safair,CARGO,South Africa
E5,Samara Airlines,BERYOZA,Russia
S3,Santa Barbara Airlines,SANTA BARBARA,Venezuela
6W,Saratov Aviation Division,SARATOV AIR,Russia
HZ,Sat Airlines,SATCO,Kazakhstan
SV,Saudi Arabian Airlines,SAUDIA,Saudi Arabia
SK,Scandinavian Airlines System,SCANDINAVIAN,Sweden
8S,Scorpio Aviation,,\N
BB,Seaborne Airlines,SEABORNE,United States
FS,Servicios de Transportes Aéreos Fueguinos,FUEGUINO,Argentina
NL,Shaheen Air International,SHAHEEN AIR,Pakistan
SC,Shandong Airlines,SHANDONG,China
FM,Shanghai Airlines,SHANGHAI AIR,China
ZH,Shenzhen Airlines,SHENZHEN AIR,China
S5,Shuttle America,MERCURY,United States
5M,Sibaviatrans,SIBAVIA,Russia
3U,Sichuan Airlines,SI CHUAN,China
FT,Siem Reap Airways,SIEMREAP AIR,Cambodia
LJ,Sierra National Airlines,SELAIR,Sierra Leone
ZP,Silk Way Airlines,SILK LINE,Azerbaijan
MI,SilkAir,SILKAIR,Singapore
SQ,Singapore Airlines Cargo,SINGCARGO,Singapore
1H,Siren-Travel,,Russia
1Q,Sirena,,Russia
R1,Sirin,,\N
H2,Sky Airline,AEROSKY,Chile
XW,Sky Express,SKYSTORM,Russia
I6,Sky Eyes,SKY EYES,Thailand
NE,SkyEurope,RELAX,Slovakia
OO,SkyWest,SKYWEST,United States
SX,Skybus Airlines,SKYBUS,United States
BC,Skymark Airlines,SKYMARK,Japan
SI,Skynet Airlines,BLUEJET,Ireland
6J,Skynet Asia Airways,NEWSKY,Japan
5G,Skyservice Airlines,SKYTOUR,Canada
AL,Skywalk Airlines,SKYWAY-EX,United States
JZ,Skyways Express,SKY EXPRESS,Sweden
S0,Slok Air Gambia,SLOK GAMBIA,Gambia
6Q,Slovak Airlines,SLOV LINE,Slovakia
IE,Solomon Airlines,SOLOMON,Solomon Islands
SO,Sosoliso Airlines,SOSOLISO,Nigeria
SA,South African Airways,SPRINGBOK,South Africa
DG,South East Asian Airlines,SEAIR,Philippines
1K,Southern Cross Distribution,,Australia
A4,Southern Winds Airlines,SOUTHERN WINDS,Argentina
WN,Southwest Airlines,SOUTHWEST,United States
JK,Spanair,SPANAIR,Spain
NK,Spirit Airlines,SPIRIT WINGS,United States
9S,Spring Airlines,AIR SPRING,China
UL,SriLankan Airlines,SRILANKAN,Sri Lanka
S6,Star Air,,Denmark
7G,Star Flyer,STARFLYER,Japan
NB,Sterling Airlines,STERLING,Denmark
SD,Sudan Airways,SUDANAIR,Sudan
SY,Sun Country Airlines,SUN COUNTRY,United States
7L,Sun D'Or,ECHO ROMEO,Israel
XQ,SunExpress,SUNEXPRESS,Turkey
CQ,Sunshine Express Airlines,,Australia
WG,Sunwing Airlines,SUNWING,Canada
PY,Surinam Airways,SURINAM,Suriname
WV,Swe Fly,FLYING SWEDE,Sweden
SM,Swedline Express,Starline,Sweden
LX,Swiss International Air Lines,SWISS,Switzerland
SR,Swissair,Swissair,Switzerland
DT,TAAG Angola Airlines,DTA,Angola
VR,TACV,CABOVERDE,Portugal
JJ,TAM Brazilian Airlines,TAM,Brazil
PZ,TAM Mercosur,PARAGUAYA,Paraguay
EQ,TAME,TAME,Ecuador
QT,TAMPA,TAMPA,Colombia
TP,TAP Portugal,AIR PORTUGAL,Portugal
3V,TNT Airways,QUALITY,Belgium
8R,TRIP Linhas Aéreas,TRIP,Brazil
TB,TUI Airlines Belgium,BEAUTY,Belgium
6B,TUIfly Nordic,BLUESCAN,Sweden
TQ,Tandem Aero,TANDEM,Moldova
RO,Tarom,TAROM,Romania
SF,Tassili Airlines,TASSILI AIR,Algeria
U9,Tatarstan Airlines,TATARSTAN,Russia
T6,Tavrey Airlines,TAVREY,Ukraine
L6,Tbilaviamsheni,TBILAVIA,Georgia
L9,Teamline Air,Teamline,Austria
T2,Thai Air Cargo,THAI CARGO,Thailand
FD,Thai AirAsia,THAI ASIA,Thailand
TG,Thai Airways International,THAI,Thailand
9I,Thai Sky Airlines,THAI SKY,Thailand
T9,Thai Star Airlines,THAI STAR,Thailand
2H,Thalys,,Belgium
FQ,Thomas Cook Airlines,THOMAS COOK,Belgium
MT,Thomas Cook Airlines,KESTREL,United Kingdom
BY,Thomsonfly,TOMSON,United Kingdom
3P,Tiara Air,TIARA,Aruba
TR,Tiger Airways,GO CAT,Singapore
ZT,Titan Airways,ZAP,United Kingdom
TI,Tol-Air Services,TOL AIR,United States
AX,Trans States Airlines,WATERSKI,United States
TW,Trans World Airlines,TWA,United States
GE,TransAsia Airways,TransAsia,Taiwan
UN,Transaero Airlines,TRANSOVIET,Russia
HV,Transavia Holland,TRANSAVIA,Netherlands
9T,Transwest Air,ATHABASKA,Canada
1E,Travelsky Technology,,China
PM,Tropic Air,TROPISER,Belize
UG,Tuninter,,Tunisia
TU,Tunisair,TUNAIR,Tunisia
3T,Turan Air,TURAN,Azerbaijan
TK,Turkish Airlines,TURKAIR,Turkey
T5,Turkmenistan Airlines,TURKMENISTAN,Turkmenistan
T7,Twin Jet,TWINJET,France
UF,UM Airlines,UKRAINE MEDITERRANEE,Ukraine
US,US Airways,U S AIR,United States
UH,US Helicopter Corporation,,United States
U5,USA3000 Airlines,GETAWAY,United States
UT,UTair Aviation,UTAIR,Russia
6Z,Ukrainian Cargo Airways,CARGOTRANS,Ukraine
UA,United Airlines,UNITED,United States
U2,United Feeder Service,,United States
5X,United Parcel Service,UPS,United States
U6,Ural Airlines,SVERDLOVSK AIR,Russia
HY,Uzbekistan Airways,UZBEK,Uzbekistan
VA,V Australia Airlines,KANGA,Australia
VP,VASP,VASP,Brazil
2R,VIA Rail Canada,,Canada
NN,VIM Airlines,MOV AIR,Russia
VG,VLM Airlines,RUBENS,Belgium
RG,VRG Linhas Aereas,VARIG,Brazil
VF,Valuair,VALUAIR,Singapore
LC,Varig Logística,VELOG,Brazil
VM,Viaggio Air,VIAGGIO,Bulgaria
VN,Vietnam Airlines,VIET NAM AIRLINES,Vietnam
VS,Virgin Atlantic Airways,VIRGIN,United Kingdom
TV,Virgin Express,VIRGIN EXPRESS,Belgium
VK,Virgin Nigeria Airways,VIRGIN NIGERIA,Nigeria
ZG,Viva Macau,JACKPOT,Macao
XF,Vladivostok Air,VLADAIR,Russia
Y4,Volaris,VOLARIS,Mexico
VI,Volga-Dnepr Airlines,VOLGA-DNEPR,Russia
7W,Wayraperú,WAYRAPERÚ,Peru
WJ,WebJet Linhas Aéreas,WEB-BRASIL,Brazil
2W,Welcome Air,WELCOMEAIR,Austria
8O,West Coast Air,,Canada
WS,WestJet,WESTJET,Canada
WF,Widerře,WIDEROE,Norway
IV,Wind Jet,GHIBLI,Italy
1W,Wings Air,WINGS ABADI,Indonesia
W6,Wizz Air,WIZZBUL,Bulgaria
WO,World Airways,WORLD,United States
1P,Worldspan,,United States
SE,XL Airways France,STARWAY,France
MF,Xiamen Airlines,XIAMEN AIR,China
XP,Xtra Airways,RUBY MOUNTAIN,United States
YL,Yamal Airlines,YAMAL,Russia
Y8,Yangtze River Express,YANGTZE RIVER,China
Y0,Yellow Air Taxi,,United States
IY,Yemenia,YEMENI,Yemen
3Q,Yunnan Airlines,YUNNAN,China
2N,Yuzhmashavia,YUZMASH,Ukraine
Q3,Zambian Airways,ZAMBIANA,Zambia
C4,Zimex Aviation,ZIMEX,Switzerland
3J,Zip,ZIPPER,Canada
Z4,Zoom Airlines,ZOOM,Canada
BD,bmi,MIDLAND,United Kingdom
WW,bmibaby,BABY,United Kingdom
UK,buzz,,\N
DI,dba,SPEEDWAY,Germany
